iter	Passed	Remaining
0	3	1857
1	6	1637
2	9	1592
3	13	1613
4	17	1705
5	20	1659
6	23	1637
7	26	1634
8	30	1655
9	34	1667
10	36	1635
11	39	1604
12	43	1614
13	46	1601
14	49	1603
15	52	1581
16	55	1572
17	58	1570
18	61	1553
19	64	1556
20	67	1541
21	70	1532
22	74	1538
23	76	1524
24	80	1532
25	83	1520
26	87	1528
27	89	1516
28	92	1505
29	96	1507
30	98	1497
31	101	1486
32	104	1476
33	107	1470
34	110	1466
35	113	1458
36	115	1451
37	118	1442
38	121	1433
39	123	1424
40	126	1418
41	129	1413
42	132	1406
43	135	1399
44	138	1403
45	141	1398
46	144	1393
47	147	1387
48	150	1380
49	152	1375
50	155	1367
51	158	1364
52	161	1358
53	163	1352
54	166	1345
55	169	1340
56	172	1338
57	175	1334
58	177	1328
59	180	1323
60	183	1317
61	185	1311
62	188	1309
63	191	1304
64	194	1299
65	196	1294
66	199	1289
67	202	1284
68	205	1281
69	207	1276
70	210	1272
71	213	1267
72	215	1262
73	219	1260
74	222	1259
75	225	1255
76	227	1250
77	230	1247
78	233	1243
79	237	1245
80	240	1243
81	242	1238
82	245	1233
83	249	1233
84	252	1230
85	255	1232
86	258	1228
87	261	1223
88	265	1224
89	267	1220
90	271	1220
91	274	1216
92	276	1212
93	280	1211
94	283	1208
95	287	1207
96	289	1204
97	293	1203
98	296	1201
99	299	1198
100	303	1197
101	306	1194
102	309	1194
103	312	1190
104	315	1185
105	318	1185
106	321	1182
107	325	1181
108	328	1179
109	331	1175
110	334	1173
111	337	1170
112	340	1166
113	343	1161
114	345	1157
115	348	1153
116	351	1151
117	354	1147
118	357	1143
119	359	1139
120	362	1135
121	365	1131
122	368	1128
123	370	1124
124	373	1120
125	376	1116
126	379	1113
127	382	1110
128	385	1107
129	387	1104
130	390	1100
131	393	1096
132	396	1094
133	399	1091
134	402	1087
135	405	1085
136	408	1083
137	411	1079
138	414	1076
139	417	1073
140	420	1069
141	423	1067
142	427	1066
143	431	1066
144	434	1064
145	438	1062
146	441	1059
147	445	1058
148	448	1055
149	451	1054
150	454	1050
151	458	1049
152	461	1047
153	464	1044
154	467	1041
155	470	1038
156	474	1036
157	477	1034
158	481	1031
159	484	1028
160	487	1026
161	490	1023
162	494	1022
163	497	1019
164	500	1016
165	504	1015
166	507	1012
167	511	1010
168	514	1006
169	517	1004
170	521	1002
171	524	999
172	527	996
173	530	993
174	533	989
175	535	986
176	538	982
177	541	980
178	544	976
179	547	972
180	550	969
181	552	965
182	556	963
183	559	960
184	562	957
185	564	953
186	567	950
187	570	946
188	573	943
189	575	939
190	578	936
191	581	932
192	583	928
193	586	925
194	589	921
195	592	918
196	594	914
197	597	911
198	599	907
199	602	904
200	605	900
201	608	897
202	611	894
203	613	890
204	616	887
205	619	883
206	622	880
207	624	877
208	627	873
209	630	870
210	633	867
211	635	863
212	639	861
213	642	858
214	645	855
215	648	852
216	652	850
217	655	848
218	658	844
219	660	841
220	663	837
221	668	837
222	672	834
